title,series,author,publisher
レッド・ストーム作戦発動(上),,T.クランシー,新潮文庫
レッド・ストーム作戦発動(下),,T.クランシー,新潮文庫
愛国者のゲーム(上),ジャック・ライアンシリーズ,T.クランシー,新潮文庫
愛国者のゲーム(下),ジャック・ライアンシリーズ,T.クランシー,新潮文庫
クレムリンの枢機卿(上),ジャック・ライアンシリーズ,T.クランシー,新潮文庫
クレムリンの枢機卿(下),ジャック・ライアンシリーズ,T.クランシー,新潮文庫
いま、そこにある危機(上),ジャック・ライアンシリーズ,T.クランシー,新潮文庫
いま、そこにある危機(下),ジャック・ライアンシリーズ,T.クランシー,新潮文庫
恐怖の総和(上),ジャック・ライアンシリーズ,T.クランシー,新潮文庫
恐怖の総和(下),ジャック・ライアンシリーズ,T.クランシー,新潮文庫
日米開戦(上),ジャック・ライアンシリーズ,T.クランシー,新潮文庫
日米開戦(下),ジャック・ライアンシリーズ,T.クランシー,新潮文庫
容赦なく(上),,T.クランシー,新潮文庫
容赦なく(下),,T.クランシー,新潮文庫
合衆国崩壊１,ジャック・ライアンシリーズ,T.クランシー,新潮文庫
合衆国崩壊２,ジャック・ライアンシリーズ,T.クランシー,新潮文庫
合衆国崩壊３,ジャック・ライアンシリーズ,T.クランシー,新潮文庫
合衆国崩壊４,ジャック・ライアンシリーズ,T.クランシー,新潮文庫
レインボー・シックス１,,T.クランシー,新潮文庫
レインボー・シックス２,,T.クランシー,新潮文庫
レインボー・シックス３,,T.クランシー,新潮文庫
レインボー・シックス４,,T.クランシー,新潮文庫
教皇暗殺１,ジャック・ライアンシリーズ,T.クランシー,新潮文庫
教皇暗殺２,ジャック・ライアンシリーズ,T.クランシー,新潮文庫
教皇暗殺３,ジャック・ライアンシリーズ,T.クランシー,新潮文庫
教皇暗殺４,ジャック・ライアンシリーズ,T.クランシー,新潮文庫
国際テロ(上),ジャック・ライアンシリーズ,T.クランシー,新潮文庫
国際テロ(下),ジャック・ライアンシリーズ,T.クランシー,新潮文庫
デッド・オア・アライヴ(1),ジャック・ライアンシリーズ,T.クランシー,新潮文庫
デッド・オア・アライヴ(2),ジャック・ライアンシリーズ,T.クランシー,新潮文庫
デッド・オア・アライヴ(3),ジャック・ライアンシリーズ,T.クランシー,新潮文庫
デッド・オア・アライヴ(4),ジャック・ライアンシリーズ,T.クランシー,新潮文庫
ライアンの代価1,ジャック・ライアンシリーズ,T.クランシー,新潮文庫
ライアンの代価2,ジャック・ライアンシリーズ,T.クランシー,新潮文庫
ライアンの代価3,ジャック・ライアンシリーズ,T.クランシー,新潮文庫
ライアンの代価4,ジャック・ライアンシリーズ,T.クランシー,新潮文庫
米中開戦1,ジャック・ライアンシリーズ,T.クランシー,新潮文庫
米中開戦2,ジャック・ライアンシリーズ,T.クランシー,新潮文庫
米中開戦3,ジャック・ライアンシリーズ,T.クランシー,新潮文庫
米中開戦4,ジャック・ライアンシリーズ,T.クランシー,新潮文庫
米露開戦1,ジャック・ライアンシリーズ,T.クランシー,新潮文庫
米露開戦2,ジャック・ライアンシリーズ,T.クランシー,新潮文庫
米露開戦3,ジャック・ライアンシリーズ,T.クランシー,新潮文庫
米露開戦4,ジャック・ライアンシリーズ,T.クランシー,新潮文庫
猫は殺しをかぎつける,シャム猫ココシリーズ,リリアン.J.ブラウン,ハヤカワ文庫
猫は手がかりを読む,シャム猫ココシリーズ,リリアン.J.ブラウン,ハヤカワ文庫
猫はソファをかじる,シャム猫ココシリーズ,リリアン.J.ブラウン,ハヤカワ文庫
猫はスイッチを入れる,シャム猫ココシリーズ,リリアン.J.ブラウン,ハヤカワ文庫
猫は１４の謎をもつ,,リリアン.J.ブラウン,ハヤカワ文庫
猫はシェイクスピアを知っている,シャム猫ココシリーズ,リリアン.J.ブラウン,ハヤカワ文庫
猫は糊をなめる,シャム猫ココシリーズ,リリアン.J.ブラウン,ハヤカワ文庫
猫は床下にもぐる,シャム猫ココシリーズ,リリアン.J.ブラウン,ハヤカワ文庫
猫は幽霊と話す,シャム猫ココシリーズ,リリアン.J.ブラウン,ハヤカワ文庫
猫はペントハウスに住む,シャム猫ココシリーズ,リリアン.J.ブラウン,ハヤカワ文庫
猫は鳥を見つめる,シャム猫ココシリーズ,リリアン.J.ブラウン,ハヤカワ文庫
猫は山をも動かす,シャム猫ココシリーズ,リリアン.J.ブラウン,ハヤカワ文庫
猫は留守番をする,シャム猫ココシリーズ,リリアン.J.ブラウン,ハヤカワ文庫
猫はクロゼットに隠れる,シャム猫ココシリーズ,リリアン.J.ブラウン,ハヤカワ文庫
猫は島へ渡る,シャム猫ココシリーズ,リリアン.J.ブラウン,ハヤカワ文庫
猫は汽笛を鳴らす,シャム猫ココシリーズ,リリアン.J.ブラウン,ハヤカワ文庫
猫はチーズをねだる,シャム猫ココシリーズ,リリアン.J.ブラウン,ハヤカワ文庫
猫は泥棒を追いかける,シャム猫ココシリーズ,リリアン.J.ブラウン,ハヤカワ文庫
猫は鳥と歌う,シャム猫ココシリーズ,リリアン.J.ブラウン,ハヤカワ文庫
猫はブラームスを演奏する,シャム猫ココシリーズ,リリアン.J.ブラウン,ハヤカワ文庫
猫は郵便配達をする,シャム猫ココシリーズ,リリアン.J.ブラウン,ハヤカワ文庫
猫は流れ星を見る,シャム猫ココシリーズ,リリアン.J.ブラウン,ハヤカワ文庫
猫はコインを貯める,シャム猫ココシリーズ,リリアン.J.ブラウン,ハヤカワ文庫
猫は火事場にかけつける,シャム猫ココシリーズ,リリアン.J.ブラウン,ハヤカワ文庫
猫は川辺で首をかしげる,シャム猫ココシリーズ,リリアン.J.ブラウン,ハヤカワ文庫
猫は銀幕にデビューする,,リリアン.J.ブラウン,ハヤカワ文庫
猫は日記をつける,シャム猫ココシリーズ,リリアン.J.ブラウン,ハヤカワ文庫
猫は七面鳥とおしゃべりする,シャム猫ココシリーズ,リリアン.J.ブラウン,ハヤカワ文庫
猫は爆弾を落とす,,リリアン.J.ブラウン,ハヤカワ文庫
猫はひげを自慢する,,リリアン.J.ブラウン,ハヤカワ文庫
氷山を狙え,ダークピットシリーズ,クライブ・カッスラー,新潮文庫
タイタニックを引き揚げろ,ダークピットシリーズ,クライブ・カッスラー,新潮文庫
QD弾頭を回収せよ,ダークピットシリーズ,クライブ・カッスラー,新潮文庫
マンハッタン特急を探せ,ダークピットシリーズ,クライブ・カッスラー,新潮文庫
海中密輸ルートを探れ,ダークピットシリーズ,クライブ・カッスラー,新潮文庫
スターバック号を奪回せよ,ダークピットシリーズ,クライブ・カッスラー,新潮文庫
大統領誘拐の謎を追え(上),ダークピットシリーズ,クライブ・カッスラー,新潮文庫
大統領誘拐の謎を追え(下),ダークピットシリーズ,クライブ・カッスラー,新潮文庫
ラドラダの秘宝を探せ(上),ダークピットシリーズ,クライブ・カッスラー,新潮文庫
ラドラダの秘宝を探せ(下),ダークピットシリーズ,クライブ・カッスラー,新潮文庫
古代ローマ船の航跡をたどれ(上),ダークピットシリーズ,クライブ・カッスラー,新潮文庫
古代ローマ船の航跡をたどれ(下),ダークピットシリーズ,クライブ・カッスラー,新潮文庫
ドラゴンセンターを破壊せよ(上),ダークピットシリーズ,クライブ・カッスラー,新潮文庫
ドラゴンセンターを破壊せよ(下),ダークピットシリーズ,クライブ・カッスラー,新潮文庫
死のサハラを脱出せよ(上),ダークピットシリーズ,クライブ・カッスラー,新潮文庫
死のサハラを脱出せよ(下),ダークピットシリーズ,クライブ・カッスラー,新潮文庫
インカの黄金を追え(上),ダークピットシリーズ,クライブ・カッスラー,新潮文庫
インカの黄金を追え(下),ダークピットシリーズ,クライブ・カッスラー,新潮文庫
殺戮衝撃波を断て(上),ダークピットシリーズ,クライブ・カッスラー,新潮文庫
殺戮衝撃波を断て(下),ダークピットシリーズ,クライブ・カッスラー,新潮文庫
暴虐の奔流を止めろ(上),ダークピットシリーズ,クライブ・カッスラー,新潮文庫
暴虐の奔流を止めろ(下),ダークピットシリーズ,クライブ・カッスラー,新潮文庫
コロンブスの呪縛を解け(上),NUMAファイルシリーズ,クライブ・カッスラー,新潮文庫
コロンブスの呪縛を解け(下),NUMAファイルシリーズ,クライブ・カッスラー,新潮文庫
アトランティスを発見せよ（上）,ダークピットシリーズ,クライブ・カッスラー,新潮文庫
アトランティスを発見せよ（下）,ダークピットシリーズ,クライブ・カッスラー,新潮文庫
マンハッタンを死守せよ（上）,ダークピットシリーズ,クライブ・カッスラー,新潮文庫
マンハッタンを死守せよ（下）,ダークピットシリーズ,クライブ・カッスラー,新潮文庫
オデッセイの脅威を暴け（上）,ダークピットシリーズ,クライブ・カッスラー,新潮文庫
オデッセイの脅威を暴け（下）,ダークピットシリーズ,クライブ・カッスラー,新潮文庫
極東細菌テロを爆砕せよ(上),ダークピットシリーズ,クライブ・カッスラー,新潮文庫
極東細菌テロを爆砕せよ(下),ダークピットシリーズ,クライブ・カッスラー,新潮文庫
ハーンの秘宝を奪取せよ(上),ダークピットシリーズ,クライブ・カッスラー,新潮文庫
ハーンの秘宝を奪取せよ(下),ダークピットシリーズ,クライブ・カッスラー,新潮文庫
消されかけた男,チャーリー・マフィンシリーズ,フリーマントル,新潮文庫
別れを告げに来た男,,フリーマントル,新潮文庫
再び消されかけた男,チャーリー・マフィンシリーズ,フリーマントル,新潮文庫
呼び出された男,チャーリー・マフィンシリーズ,フリーマントル,新潮文庫
ディーケンの戦い,,フリーマントル,新潮文庫
黄金をつくる男,,フリーマントル,新潮文庫
十一月の男,,フリーマントル,新潮文庫
罠にかけられた男,チャーリー・マフィンシリーズ,フリーマントル,新潮文庫
追いつめられた男,チャーリー・マフィンシリーズ,フリーマントル,新潮文庫
収容所から出された男,,フリーマントル,新潮文庫
最後に笑った男(上),,フリーマントル,新潮文庫
最後に笑った男(下),,フリーマントル,新潮文庫
亡命者はモスクワをめざす,チャーリー・マフィンシリーズ,フリーマントル,新潮文庫
名門ホテル乗っ取り工作,,フリーマントル,新潮文庫
暗殺者を愛した女,チャーリー・マフィンシリーズ,フリーマントル,新潮文庫
クレムリン・キス,,フリーマントル,新潮文庫
第五の日に帰って行った男,,フリーマントル,新潮文庫
裏切り,,フリーマントル,新潮文庫
終わりなき復讐,,フリーマントル,新潮文庫
暗殺者オファレルの原則,,フリーマントル,新潮文庫
狙撃,チャーリー・マフィンシリーズ,フリーマントル,新潮文庫
十二の秘密指令,,フリーマントル,新潮文庫
おとり捜査,,フリーマントル,新潮文庫
嘘に抱かれた女,,フリーマントル,新潮文庫
報復(上),チャーリー・マフィンシリーズ,フリーマントル,新潮文庫
報復(下),チャーリー・マフィンシリーズ,フリーマントル,新潮文庫
流出(上),チャーリー・マフィンシリーズ,フリーマントル,新潮文庫
流出(下),チャーリー・マフィンシリーズ,フリーマントル,新潮文庫
屍体配達人(上),プロファイリング・シリーズ,フリーマントル,新潮文庫
屍体配達人(下),プロファイリング・シリーズ,フリーマントル,新潮文庫
英雄(上),ダニーロフ＆カウリーシリーズ,フリーマントル,新潮文庫
英雄(下),ダニーロフ＆カウリーシリーズ,フリーマントル,新潮文庫
虐待者(上),プロファイリング・シリーズ,フリーマントル,新潮文庫
虐待者(下),プロファイリング・シリーズ,フリーマントル,新潮文庫
待たれていた男（上）,チャーリー・マフィンシリーズ,フリーマントル,新潮文庫
待たれていた男（下）,チャーリー・マフィンシリーズ,フリーマントル,新潮文庫
城壁に手をかけた男（上）,チャーリー・マフィンシリーズ,フリーマントル,新潮文庫
城壁に手をかけた男（下）,チャーリー・マフィンシリーズ,フリーマントル,新潮文庫
シャーロックホームズの息子(上),,フリーマントル,新潮文庫
シャーロックホームズの息子(下),,フリーマントル,新潮文庫
知りすぎた女,,フリーマントル,新潮文庫
ホームズ二世のロシア秘録,,フリーマントル,新潮文庫
殺人にうってつけの日,,フリーマントル,新潮文庫
ネームドロッパー　上,,フリーマントル,新潮文庫
ネームドロッパー　下,,フリーマントル,新潮文庫
片腕をなくした男(上),チャーリー・マフィンシリーズ,フリーマントル,新潮文庫
片腕をなくした男(下),チャーリー・マフィンシリーズ,フリーマントル,新潮文庫
顔をなくした男（上）,チャーリー・マフィンシリーズ,フリーマントル,新潮文庫
顔をなくした男（下）,チャーリー・マフィンシリーズ,フリーマントル,新潮文庫
魂をなくした男（上）,チャーリー・マフィンシリーズ,フリーマントル,新潮文庫
魂をなくした男（下）,チャーリー・マフィンシリーズ,フリーマントル,新潮文庫
エディ・フランクスの選択(上),,フリーマントル,角川文庫
エディ・フランクスの選択(下),,フリーマントル,角川文庫
ジャッカルの日,,フォーサイス,角川文庫
悪魔の選択(上),,フォーサイス,角川文庫
悪魔の選択(下),,フォーサイス,角川文庫
第四の核(上),,フォーサイス,角川文庫
第四の核(下),,フォーサイス,角川文庫
騙し屋,サム・マクレディ４部作第１作,フォーサイス,角川文庫
売国奴の持参金,サム・マクレディ４部作第２作,フォーサイス,角川文庫
戦争の犠牲者,サム・マクレディ４部作第３作,フォーサイス,角川文庫
カリブの失楽園,サム・マクレディ４部作第４作,フォーサイス,角川文庫
スナップ・ショット,,A.J.クィネル,新潮文庫
血の絆,,A.J.クィネル,新潮文庫
サン・カルロの対決,,A.J.クィネル,新潮文庫
メッカを撃て,,A.J.クィネル,新潮文庫
ヴァチカンからの暗殺者,,A.J.クィネル,新潮文庫
イローナの四人の父親,,A.J.クィネル,新潮文庫
パーフェクト・キル,クリーシィシリーズ第２作,A.J.クィネル,新潮文庫
燃える男,クリーシィシリーズ第１作,A.J.クィネル,新潮文庫
ブルー・リング,クリーシィシリーズ第３作,A.J.クィネル,新潮文庫
ブラック・ホーン,クリーシィシリーズ第４作,A.J.クィネル,新潮文庫
地獄からのメッセージ,クリーシィシリーズ第５作,A.J.クィネル,新潮文庫
ラム君、奮闘す,ドナルド・ラムとバーサ・クールシリーズ,A.A.フェア（E.S.ガードナー）,ハヤカワ・ミステリ文庫
黄金の煉瓦,ドナルド・ラムとバーサ・クールシリーズ,A.A.フェア（E.S.ガードナー）,ハヤカワ・ミステリ文庫
倍額保険,ドナルド・ラムとバーサ・クールシリーズ,A.A.フェア（E.S.ガードナー）,ハヤカワ・ミステリ文庫
大当たりを当てろ,ドナルド・ラムとバーサ・クールシリーズ,A.A.フェア（E.S.ガードナー）,ハヤカワ・ミステリ文庫
猫は夜中に散歩する,ドナルド・ラムとバーサ・クールシリーズ,A.A.フェア（E.S.ガードナー）,ハヤカワ・ミステリ文庫
コウモリは夕方に飛ぶ,ドナルド・ラムとバーサ・クールシリーズ,A.A.フェア（E.S.ガードナー）,ハヤカワ・ミステリ文庫
評決のとき(上),,J.グリシャム,新潮文庫
評決のとき(下),,J.グリシャム,新潮文庫
法律事務所(上),,J.グリシャム,新潮文庫
法律事務所(下),,J.グリシャム,新潮文庫
ペリカン文書(上),,J.グリシャム,新潮文庫
ペリカン文書(下),,J.グリシャム,新潮文庫
依頼人(上),,J.グリシャム,新潮文庫
依頼人(下),,J.グリシャム,新潮文庫
処刑室（上）,,J.グリシャム,新潮文庫
処刑室（下）,,J.グリシャム,新潮文庫
原告側弁護人(上),,J.グリシャム,新潮文庫
原告側弁護人(下),,J.グリシャム,新潮文庫
陪審評決（上）,,J.グリシャム,新潮文庫
陪審評決（下）,,J.グリシャム,新潮文庫
パートナー（上）,,J.グリシャム,新潮文庫
パートナー（下）,,J.グリシャム,新潮文庫
路上の弁護士（上）,,J.グリシャム,新潮文庫
路上の弁護士（下）,,J.グリシャム,新潮文庫
ホテル(上),,アーサー・ヘイリー,新潮文庫
ホテル(下),,アーサー・ヘイリー,新潮文庫
エネルギー(上),,アーサー・ヘイリー,新潮文庫
エネルギー(下),,アーサー・ヘイリー,新潮文庫
ニュースキャスター(上),,アーサー・ヘイリー,新潮文庫
ニュースキャスター(下),,アーサー・ヘイリー,新潮文庫
おばちゃまは飛び入りスパイ,ミセス・ポリファックス・シリーズ,ドロシー・ギルマン,集英社文庫
おばちゃまはイスタンブール,ミセス・ポリファックス・シリーズ,ドロシー・ギルマン,集英社文庫
おばちゃまはサファリ・スパイ,ミセス・ポリファックス・シリーズ,ドロシー・ギルマン,集英社文庫
おばちゃまはアルペン・スパイ,ミセス・ポリファックス・シリーズ,ドロシー・ギルマン,集英社文庫
おばちゃまは東欧スパイ,ミセス・ポリファックス・シリーズ,ドロシー・ギルマン,集英社文庫
おばちゃまはシルクロード,ミセス・ポリファックス・シリーズ,ドロシー・ギルマン,集英社文庫
おばちゃまは香港スパイ,ミセス・ポリファックス・シリーズ,ドロシー・ギルマン,集英社文庫
おばちゃまはハネムーン,ミセス・ポリファックス・シリーズ,ドロシー・ギルマン,集英社文庫
おばちゃまはアラブ・スパイ,ミセス・ポリファックス・シリーズ,ドロシー・ギルマン,集英社文庫
おばちゃまはシチリア・スパイ,ミセス・ポリファックス・シリーズ,ドロシー・ギルマン,集英社文庫
おばちゃまはサーカス・スパイ,ミセス・ポリファックス・シリーズ,ドロシー・ギルマン,集英社文庫
おばちゃまはアフリカ・スパイ,ミセス・ポリファックス・シリーズ,ドロシー・ギルマン,集英社文庫
おばちゃまはヨルダン・スパイ,ミセス・ポリファックス・シリーズ,ドロシー・ギルマン,集英社文庫
おばちゃまはシリア・スパイ,ミセス・ポリファックス・シリーズ,ドロシー・ギルマン,集英社文庫
スパイよさらば,,ジャック・ウィンチェスター(フリーマントル),文春文庫
スパイよさらば,,ジャック・ウィンチェスター(フリーマントル),新潮文庫
チャイナ・ホワイト,,トニー・ケンリック,角川文庫
消えたV1発射基地,,トニー・ケンリック,角川文庫
スカイジャック,,トニー・ケンリック,角川文庫
誰が為に爆弾は鳴る,,トニー・ケンリック,角川文庫
リリアンと悪党ども,,トニー・ケンリック,角川文庫
マイ・フェア・レディーズ,,トニー・ケンリック,角川文庫
暗くなるまで待て,,トニー・ケンリック,角川文庫
俺たちには今日がある,,トニー・ケンリック,角川文庫
上海サプライズ,,トニー・ケンリック,角川文庫
三人のイカれる男,,トニー・ケンリック,角川文庫
バーニーよ銃をとれ,,トニー・ケンリック,角川文庫
百万ドルをとり返せ！,,ジェフリー・アーチャー,新潮文庫
大統領に知らせますか？,,ジェフリー・アーチャー,新潮文庫
ケインとアベル(上),,ジェフリー・アーチャー,新潮文庫
ケインとアベル(下),,ジェフリー・アーチャー,新潮文庫
ロスノフスキ家の娘(上),,ジェフリー・アーチャー,新潮文庫
ロスノフスキ家の娘(下),,ジェフリー・アーチャー,新潮文庫
めざせダウニング街10番地,,ジェフリー・アーチャー,新潮文庫
ロシア皇帝の密約,,ジェフリー・アーチャー,新潮文庫
十二本の毒矢,,ジェフリー・アーチャー,新潮文庫
新版大統領に知らせますか？,,ジェフリー・アーチャー,新潮文庫
十二の意外な結末,,ジェフリー・アーチャー,新潮文庫
チェルシー・テラスへの道(上),,ジェフリー・アーチャー,新潮文庫
チェルシー・テラスへの道(下),,ジェフリー・アーチャー,新潮文庫
盗まれた独立宣言(上),,ジェフリー・アーチャー,新潮文庫
盗まれた独立宣言(下),,ジェフリー・アーチャー,新潮文庫
十二枚のだまし絵,,ジェフリー・アーチャー,新潮文庫
メディア買収の野望(上),,ジェフリー・アーチャー,新潮文庫
メディア買収の野望(下),,ジェフリー・アーチャー,新潮文庫
十一番目の戒律,,ジェフリー・アーチャー,新潮文庫
十四の嘘と真実,,ジェフリー・アーチャー,新潮文庫
運命の息子（上）,,ジェフリー・アーチャー,新潮文庫
運命の息子（下）,,ジェフリー・アーチャー,新潮文庫
誇りと復讐（上）,,ジェフリー・アーチャー,新潮文庫
誇りと復讐（下）,,ジェフリー・アーチャー,新潮文庫
15のわけあり小説,,ジェフリー・アーチャー,新潮文庫
天から降ってきた泥棒,ドートマンダー・シリーズ,D.E.ウェストレイク,ハヤカワ文庫
逃げ出した秘宝,ドートマンダー・シリーズ,D.E.ウェストレイク,ハヤカワ文庫
踊る黄金像,,D.E.ウェストレイク,ハヤカワ文庫
二役は大変！,,D.E.ウェストレイク,ハヤカワ文庫
我が輩はカモである,,D.E.ウェストレイク,ハヤカワ文庫
嘘じゃないんだ！,,D.E.ウェストレイク,ハヤカワ文庫
骨まで盗んで,ドートマンダー・シリーズ,D.E.ウェストレイク,ハヤカワ文庫
最高の悪運,ドートマンダー・シリーズ,D.E.ウェストレイク,ハヤカワ文庫
斧,,D.E.ウェストレイク,文春文庫
芒,,D.E.ウェストレイク,文春文庫
強盗プロフェッショナル,ドートマンダー・シリーズ,D.E.ウェストレイク,角川文庫
ジミー・ザ・キッド,ドートマンダー・シリーズ,D.E.ウェストレイク,角川文庫
クッキング・ママは名探偵,クッキング・ママシリーズ,ダイアン・デヴィッドソン,集英社文庫
クッキング・ママの操作網,クッキング・ママシリーズ,ダイアン・デヴィッドソン,集英社文庫
クッキング・ママの名推理,クッキング・ママシリーズ,ダイアン・デヴィッドソン,集英社文庫
クッキング・ママの事件簿,クッキング・ママシリーズ,ダイアン・デヴィッドソン,集英社文庫
クッキング・ママの召喚状,クッキング・ママシリーズ,ダイアン・デヴィッドソン,集英社文庫
クッキング・ママの検屍書,クッキング・ママシリーズ,ダイアン・デヴィッドソン,集英社文庫
クッキング・ママの依頼人,クッキング・ママシリーズ,ダイアン・デヴィッドソン,集英社文庫
思考機械の事件簿Ⅰ,,ジャック・フットレル,創元推理文庫
思考機械の事件簿Ⅲ,,ジャック・フットレル,創元推理文庫
隅の老人の事件簿,,バロネス・オルツィ,創元推理文庫
ピーター卿の事件簿,,ドロシー・L・セイヤーズ,創元推理文庫
ピーター卿の事件簿２ 顔のない男,,ドロシー・L・セイヤーズ,創元推理文庫
ポワロの事件簿Ⅰ,,アガサ・クリスティ,創元推理文庫
パーカー・パインの事件簿,,アガサ・クリスティ,創元推理文庫
メルトン先生の犯罪学演習,,ヘンリ・セシル,創元推理文庫
ソーンダイク博士の事件簿Ⅰ,,オースチン・フリーマン,創元推理文庫
